date,superbowl,site,city,winner,winnerscore,loser,loserscore,mvp,winningcoach,losingcoach,favorite,line
1967-01-15,I,Los Angeles Memorial Coliseum,"Los Angeles, CA",Green Bay Packers,35,Kansas City Chiefs,10,Bart Starr,Vince Lombardi,Hank Stram,Green Bay Packers,-14
1968-01-14,II,Orange Bowl,"Miami, FL",Green Bay Packers,33,Oakland Raiders,14,Bart Starr,Vince Lombardi,John Rauch,Green Bay Packers,-13.5
1969-01-12,III,Orange Bowl,"Miami, FL",New York Jets,16,Baltimore Colts,7,Joe Namath,Weeb Ewbank,Don Shula,Baltimore Colts,-18
1970-01-11,IV,Tulane Stadium,"New Orleans, LA",Kansas City Chiefs,23,Minnesota Vikings,7,Len Dawson,Hank Stram,Bud Grant,Minnesota Vikings,-12
1971-01-17,V,Orange Bowl,"Miami, FL",Baltimore Colts,16,Dallas Cowboys,13,Chuck Howley,Don McCafferty,Tom Landry,Baltimore Colts,-2.5
1972-01-16,VI,Tulane Stadium,"New Orleans, LA",Dallas Cowboys,24,Miami Dolphins,3,Roger Staubach,Tom Landry,Don Shula,Dallas Cowboys,-6
1973-01-14,VII,Los Angeles Memorial Coliseum,"Los Angeles, CA",Miami Dolphins,14,Washington Redskins,7,Jake Scott,Don Shula,George Allen,Miami Dolphins,-1
1974-01-13,VIII,Rice Stadium,"Houston, TX",Miami Dolphins,24,Minnesota Vikings,7,Larry Csonka,Don Shula,Bud Grant,Miami Dolphins,-6.5
1975-01-12,IX,Tulane Stadium,"New Orleans, LA",Pittsburgh Steelers,16,Minnesota Vikings,6,Franco Harris,Chuck Noll,Bud Grant,Pittsburgh Steelers,-3
1976-01-18,X,Orange Bowl,"Miami, FL",Pittsburgh Steelers,21,Dallas Cowboys,17,Lynn Swann,Chuck Noll,Tom Landry,Pittsburgh Steelers,-7
1977-01-09,XI,Rose Bowl,"Pasadena, CA",Oakland Raiders,32,Minnesota Vikings,14,Fred Biletnikoff,John Madden,Bud Grant,Oakland Raiders,-4
1978-01-15,XII,Superdome,"New Orleans, LA",Dallas Cowboys,27,Denver Broncos,10,Harvey Martin & Randy White,Tom Landry,Red Miller,Dallas Cowboys,-6
1979-01-21,XIII,Orange Bowl,"Miami, FL",Pittsburgh Steelers,35,Dallas Cowboys,31,Terry Bradshaw,Chuck Noll,Tom Landry,Pittsburgh Steelers,-3.5
1980-01-20,XIV,Rose Bowl,"Pasadena, CA",Pittsburgh Steelers,31,Los Angeles Rams,19,Terry Bradshaw,Chuck Noll,Ray Malavasi,Pittsburgh Steelers,-10.5
